,rank,title,description,runtime,genre,rating,meta_score,vote,gross_earning,director,actor1,actor2,actor3,actor4
67,68,Christmas in the Heartland,"Kara and Jessie are two teenager girls from very different worlds, but with a little Christmas magic, they find they have much more in common than they ever imagined.",112,Family,6.0,0.0,724,0.0,Harvey Lowry,Sierra McCormick,Brighton Sharbino,Bo Derek,Shelley Long
68,69,Gerald's Game,"A couple tries to spice up their marriage in a remote lake house; after the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.",103,"Drama, Horror, Thriller",6.6,77.0,74083,0.0,Mike Flanagan,Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken
69,70,The Death of Stalin,"Moscow, 1953. After being in power for nearly 30 years, Soviet dictator Josef Stalin takes ill and quickly dies. Now the members of the Council of Ministers scramble for power.",107,"Comedy, Drama, History",7.2,88.0,70203,8.04,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Jeffrey Tambor,Andrea Riseborough
70,71,Darkest Hour,"In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire.",125,"Biography, Drama, History",7.4,75.0,148218,56.47,Joe Wright,Gary Oldman,Lily James,Kristin Scott Thomas,Ben Mendelsohn
71,72,CHIPS,"A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.",100,"Action, Comedy, Crime",6.0,28.0,39235,18.59,Dax Shepard,Michael Peña,Dax Shepard,Vincent D'Onofrio,Rosa Salazar
72,73,Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,107,"Crime, Drama, Mystery",7.7,73.0,180884,33.8,Taylor Sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones
73,74,Fifty Shades Darker,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",118,"Drama, Romance",4.6,33.0,85012,114.38,James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford
74,75,Molly's Game,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",140,"Biography, Crime, Drama",7.4,71.0,114729,28.78,Aaron Sorkin,Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera
75,76,The Current War,The dramatic story of the cutthroat race between electricity titans Thomas Edison and George Westinghouse to determine whose electrical system would power the modern world.,102,"Biography, Drama, History",6.4,55.0,7990,0.0,Alfonso Gomez-Rejon,Benedict Cumberbatch,Tom Holland,Oliver Powell,Nicholas Hoult
76,77,The Hitman's Bodyguard,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",118,"Action, Comedy, Thriller",6.9,47.0,170730,75.47,Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung
77,78,All the Money in the World,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,132,"Biography, Crime, Drama",6.8,72.0,65163,25.11,Ridley Scott,Michelle Williams,Christopher Plummer,Mark Wahlberg,Romain Duris
78,79,The Upside,A comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.,126,"Comedy, Drama",6.9,46.0,35114,108.25,Neil Burger,Kevin Hart,Bryan Cranston,Nicole Kidman,Aja Naomi King
79,80,Pitch Perfect 3,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",93,"Comedy, Music",5.8,40.0,49270,104.9,Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Anna Camp
80,81,Papillon,"Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island.",133,"Adventure, Biography, Crime",7.1,51.0,40262,2.34,Michael Noer,Charlie Hunnam,Damijan Oklopdzic,Christopher Fairbank,Jason Ryan
81,82,Time Trap,A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well.,87,"Action, Adventure, Sci-Fi",6.5,46.0,11994,0.0,Mark Dennis,|,Andrew Wilson,Cassidy Gifford,Brianne Howey
82,83,The Dark Tower,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,95,"Action, Adventure, Fantasy",5.6,34.0,116851,50.7,Nikolaj Arcel,Idris Elba,Matthew McConaughey,Tom Taylor,Dennis Haysbert
83,84,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",101,Drama,7.6,60.0,87997,24.8,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer
84,85,Hostiles,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",134,"Drama, Western",7.2,65.0,58852,29.82,Scott Cooper,Scott Shepherd,Rosamund Pike,Ava Cooper,Stella Cooper
85,86,Happy Death Day,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",96,"Horror, Mystery, Thriller",6.5,58.0,99802,55.68,Christopher Landon,Jessica Rothe,Israel Broussard,Ruby Modine,Charles Aitken
86,87,"Roman J. Israel, Esq.","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.",122,"Crime, Drama, Thriller",6.4,58.0,26105,11.96,Dan Gilroy,Denzel Washington,Colin Farrell,Carmen Ejogo,Lynda Gravatt
87,88,Sweet Virginia,A former rodeo champ befriends a young man with a propensity for violence.,93,"Drama, Thriller",6.2,72.0,6941,0.01,Jamie M. Dagg,Jon Bernthal,Christopher Abbott,Imogen Poots,Rosemarie DeWitt
88,89,Geostorm,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",109,"Action, Sci-Fi, Thriller",5.3,21.0,84782,33.7,Dean Devlin,Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara
89,90,The Florida Project,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",111,Drama,7.6,92.0,78265,5.9,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera
90,91,Girls Trip,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.",122,"Adventure, Comedy, Drama",6.2,71.0,31353,115.17,Malcolm D. Lee,Regina Hall,Queen Latifah,Jada Pinkett Smith,Tiffany Haddish
91,92,American Assassin,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",112,"Action, Thriller",6.2,45.0,61589,36.25,Michael Cuesta,Dylan O'Brien,Michael Keaton,Sanaa Lathan,Taylor Kitsch
92,93,Paddington 2,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",103,"Adventure, Comedy, Family",7.8,88.0,51355,40.44,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins
93,94,The Ritual,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",94,"Horror, Mystery, Thriller",6.3,57.0,63131,0.0,David Bruckner,Rafe Spall,Arsher Ali,Robert James-Collier,Sam Troughton
94,95,Cars 3,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,102,"Animation, Adventure, Comedy",6.7,59.0,64779,152.9,Brian Fee,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion
95,96,The Square,A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.,151,"Comedy, Drama",7.2,73.0,47307,1.5,Ruben Östlund,Claes Bang,Elisabeth Moss,Dominic West,Terry Notary
